"dt_group","dt_name","dt_easting","dt_northing","dt_lat","dt_lon","dt_2003","dt_2004","dt_2005","dt_2006","dt_2007","dt_2008","dt_2009","dt_2010","dt_2011","dt_2012","dt_2013","dt_2014","dt_2015","dt_2016"
"King Ecgbert School","Back of School","431020","380901","53.3241274881979","-1.53575523833396","-","-","-","13","14","12","12","12","12","12","-","-","-","-"
"King Ecgbert School","Car park","431094","380895","53.3240692327323","-1.53464489498049","-","-","-","15","18","16","16","15","15","14","-","-","-","-"
"King Ecgbert School","Top of drive","430962","380738","53.3226657652074","-1.53664183019117","-","-","-","16","17","16","15","15","15","14","-","-","-","-"
"King Ecgbert School","Tesco Express Abbeydale Rd","431836","380676","53.3220568405401","-1.52352751815133","-","-","-","29","31","27","27","27","27","24","-","-","-","-"
"King Ecgbert School","Ashfurlong Road","431492","381286","53.3275602435373","-1.52863119587288","-","-","-","14","15","13","13","13","12","11","-","-","-","-"
"Firvale","Earl Marshall Youth Ctr Rushby St","436805","390266","53.4079325790138","-1.44782169859963","-","26","27","32","28","25","-","-","-","-","-","-","-","-"
"Firvale","101 Firth Park Road","436830","390522","53.4102318005119","-1.4474158473139","-","35","-","28","-","-","-","-","-","-","-","-","-","-"
"Firvale","20 Owler Lane 1","436642","390237","53.4076832293374","-1.45027687986237","-","40","42","38","43","36","-","-","-","-","-","-","-","-"
"Firvale","313 Owler Lane 2","437273","390223","53.407513348477","-1.44078718577795","-","34","34","36","38","32","-","-","-","-","-","-","-","-"
"Firvale","505 Barnsley Road","436459","390144","53.4068599659554","-1.45304024162222","-","42","41","36","42","38","-","-","-","-","-","-","-","-"
"Broomhall","Ruth Square","434040","386935","53.3781778224836","-1.48977065201046","-","-","21","21","24","20","27","24","20","20","21","20","-","-"
"Broomhall","Broomhall Road","434026","386436","53.3736935908273","-1.49003464590227","-","-","21","27","26","26","25","22","21","21","22","21","-","-"
"Broomhall","Hanover Methodist church","434373","386894","53.3777878186187","-1.48476962284516","-","-","26","28","30","25","24","24","23","23","23","23","-","-"
"Broomhall","Springfield School","434563","386942","53.3782068998462","-1.48190844007401","-","-","22","25","25","24","25","25","22","23","23","23","-","-"
"Broomhall","88 Exeter Drive","434556","386419","53.3735065139027","-1.48207066631557","-","-","26","29","27","24","18","24","24","25","27","24","-","-"
"Broomhall","126 Exeter Drive","434600","386515","53.3743665142904","-1.48139887905231","-","-","36","36","30","28","23","26","25","26","27","25","-","-"
"Broomhall","103 Exeter Drive","434655","386465","53.3739135107944","-1.48057768842187","-","-","26","25","-","-","-","-","-","-","-","-","-","-"
"Burngreave/Melrose","120 Burngreave Road","435773","388948","53.396156917619","-1.46349389064924","-","-","-","34","40","29","25","29","30","31","41","38","37","35"
"Burngreave/Melrose","104 Burngreave Road","435805","388901","53.3957323116848","-1.46301799816825","-","-","-","35","40","33","25","29","31","32","42","38","37","35"
"Burngreave/Melrose","86 Burngreave Road","435838","388853","53.3952986480258","-1.46252719089609","-","-","-","35","41","30","27","32","33","33","43","40","38","35"
"Burngreave/Melrose","Burngreave Street junction","435880","388835","53.3951340178675","-1.46189765854676","-","-","-","33","33","24","20","25","28","27","33","30","30","28"
"Burngreave/Melrose","73 Burngreave Road","435843","388814","53.3949477711542","-1.46245641859667","-","-","-","43","53","40","33","38","43","43","51","50","51","49"
"Darnall","Darnall Post Office","439379","387855","53.3860770960306","-1.40940415992253","-","-","-","-","-","-","-","-","36","34","36","32","33","31"
"Darnall","Well Being, Main Road","439416","387757","53.3851935105174","-1.4088600965232","-","-","-","-","-","-","-","-","41","36","40","39","39","35"
"Darnall","584 Staniforth Rd","438682","388046","53.3878451779287","-1.41985957750431","-","-","-","-","-","-","-","-","39","37","39","36","39","36"
"Darnall","Don Valley","438123","388961","53.3961098315337","-1.42815381432407","-","-","-","-","-","-","-","-","-","-","-","-","-","31"
"Park Community Action","38 Dovecourt Road/24 Southend Rd (Jun 09)","437227","386269","53.3719774570066","-1.44194389112437","-","-","-","-","-","29","-","28","28","-","-","-","-","-"
"Park Community Action","25 Wybourn House Rd/ 16 Blackwell Close (May 08)","437179","387385","53.3820116192888","-1.4425343763631","-","-","-","-","-","27","-","26","26","-","-","-","-","-"
"Park Community Action","12 Ingram Court","436644","386658","53.3755144801194","-1.45066094039117","-","-","-","-","-","26","-","26","26","-","-","-","-","-"
"Park Community Action","5 Bard Street","436167","387515","53.3832501153105","-1.4577326626281","-","-","-","-","-","39","-","34","34","-","-","-","-","-"
"Breath Easy Group","21 Manor Oaks Close","437200","387116","53.3795923304665","-1.44225027036223","-","-","-","-","-","-","20","-","-","-","-","-","-","-"
"Breath Easy Group","60 Ridgeway Rd, Manor Top","438171","384707","53.3578708125634","-1.42794438851783","-","-","-","-","-","-","22","27","24","26","28","26","24","29"
"Breath Easy Group","204 Harborough Ave, Manor Park","438194","386634","53.3751893387089","-1.42736673690177","-","-","-","-","-","-","24","-","-","-","-","-","-","-"
"Breath Easy Group","10 Houstead Rd, Darnall","439862","387360","53.3815918657905","-1.40220501957464","-","-","-","-","-","-","23","25","22","22","24","21","21","-"
"Breath Easy Group","Argyle Cl, Meersbrook","435574","384224","53.3537100361673","-1.46701649912622","-","-","-","-","-","-","15","17","-","-","-","-","-","-"
"Brinsworth Comprehensive","Car park","441498","389784","53.4032532483341","-1.3772942512474","-","-","-","-","-","-","27","-","-","-","-","-","-","-"
"Brinsworth Comprehensive","Staff garden","441439","389761","53.4030511458515","-1.37818462484103","-","-","-","-","-","-","31","-","-","-","-","-","-","-"
"Brinsworth Comprehensive","Bungalow","441500","389762","53.4030553550749","-1.37726705736056","-","-","-","-","-","-","29","-","-","-","-","-","-","-"
"Brunswick School","Science Garden","442626","385025","53.3603896032512","-1.36096965454232","-","-","-","-","-","-","21","21","22","23","-","-","-","-"
"Brunswick School","Millenium Garden","442627","384990","53.3600749408137","-1.36095933418848","-","-","-","-","-","-","24","25","22","26","-","-","-","-"
"Brunswick School","Top of Car Park","442602","384996","53.3601308787836","-1.3613341470996","-","-","-","-","-","-","24","26","23","27","-","-","-","-"
"Brunswick School","Top Yard","442648","384970","53.359893490666","-1.36064650391262","-","-","-","-","-","-","23","25","20","26","-","-","-","-"
"Brunswick School","Bottom yard","442613","384920","53.35944690221","-1.36117908643939","-","-","-","-","-","-","22","23","22","27","-","-","-","-"
"Crookes","Wesleyan Chapel","432847","387475","53.38310673456","-1.50764727678631","-","-","-","-","-","-","21","15","19","18","-","-","-","-"
"Crookes","Arran Road","432670","387290","53.381454844972","-1.51032722941443","-","-","-","-","-","-","16","16","15","16","18","16","13","13"
"Crookes","Cross Lane","432572","387402","53.3824675598753","-1.51178892226726","-","-","-","-","-","-","16","15","16","15","-","-","-","-"
"Deepcar","Lidl","427257","398421","53.4818092283872","-1.5907404744646","-","-","-","-","-","-","27","31","32","33","35","31","33","32"
"Deepcar","PO","428189","398209","53.4798548489546","-1.57671580883937","-","-","-","-","-","-","28","31","32","33","34","33","32","30"
"Deepcar","Carr Road","428818","397977","53.4777356696513","-1.56725952515091","-","-","-","-","-","-","35","35","38","38","40","37","34","34"
"Abbey Lane School","School","434375","382590","53.3391022320163","-1.48520573727597","-","-","-","-","-","-","-","-","22","-","-","-","-","-"
"Abbey Lane School","Abbey Lane House","434387","382552","53.3387598999805","-1.48502963725439","-","-","-","-","-","-","-","-","23","-","-","-","-","-"
"Miscellaneous","Hinde Hs La","437132","390985","53.414372200303","-1.44281860764826","-","-","-","-","-","-","22","26","25","25","27","25","23","25"
"Miscellaneous","Derbyshire La","435338","382924","53.3420410801223","-1.4707065546943","-","-","-","-","-","-","21","24","21","22","25","21","20","22"
"Miscellaneous","Winchester Ave Back a","430008","385978","53.3698195086894","-1.55046850058874","-","-","-","-","-","-","19","14","13","13","14","12","11","-"
"Miscellaneous","Winchester Ave Front b","430001","385968","53.369730021307","-1.55057464667206","-","-","-","-","-","-","21","16","14","16","18","16","15","-"
"Miscellaneous","127 Olive Grove Rd","435763","385627","53.3663078080955","-1.46401905704811","-","-","-","-","-","-","-","-","-","-","28","-","-","-"
"Miscellaneous","1 Glossop Row, Oughtibridge","430725","393264","53.4352669492581","-1.53898601415446","-","-","-","-","-","-","-","-","-","-","-","20","18","17"
"Miscellaneous","146 Abbeydale Road","434869","385276","53.3632124735246","-1.47749200149687","-","-","-","-","-","-","-","-","-","-","-","43","45","39"
"Miscellaneous","150 Abbeydale Road","434862","385269","53.363150016002","-1.4775979538671","-","-","-","-","-","-","-","-","-","-","-","23","24","23"
"Miscellaneous","Barkers Pool Taxi Rank","435286","387224","53.3806939401159","-1.47100931602943","-","-","-","-","-","-","-","-","-","-","-","-","-","47"
"Netheredge","25/27 Junction Road","433391","385607","53.3662826915073","-1.49966590861876","-","-","-","23","31","27","24","27","25","22","26","22","-","-"
"Netheredge","13 Osbourne Road","433876","384973","53.3605533798967","-1.49244536403036","-","-","-","22","32","28","28","29","29","28","30","29","28","27"
"Netheredge","35 Montgomery Road","434372","385218","53.3627235954344","-1.48496629826497","-","-","-","22","29","25","23","24","23","22","26","23","21","22"
"Netheredge","Zeds Nether Edge Road","434200","384869","53.3595978118295","-1.48758838783972","-","-","-","20","26","23","23","24","21","22","23","22","19","23"
"Netheredge","Clifford School Psalter Lane","433650","385574","53.3659697104757","-1.4957773396792","-","-","-","18","27","23","23","24","21","22","24","21","20","22"
"Netheredge","Hunters Bar Juniors","433377","385701","53.3671284695747","-1.49986640116763","-","-","-","-","-","-","-","-","-","-","-","-","29","30"
"Penistone Road","SCT Bedford St/Penistone Rd","434622","388387","53.3911910150159","-1.48086369653217","-","-","-","-","-","-","33","36","33","32","37","35","31","30"
"Penistone Road","Regent Court Floor 7","433572","389761","53.4036083855759","-1.49650588625316","-","-","-","-","-","-","20","20","20","19","23","20","18","20"
"Penistone Road","Catchbar Lane Traffic Light","433087","390643","53.4115665025912","-1.50370829680745","-","-","-","-","-","-","47","46","49","45","48","44","47","42"
"Penistone Road","Broughton Rd/Penistone Rd","433515","390188","53.4074499577636","-1.49731797589994","-","-","-","-","-","-","34","38","32","32","40","32","31","34"
"Penistone Road","Walkley La Newsagent Front","433308","389319","53.3996522622796","-1.50052306837651","-","-","-","-","-","-","24","24","26","23","26","25","30","40"
"Penistone Road","Walkley La Newsagent Rear","433320","389323","53.3996874605342","-1.50034217874751","-","-","-","-","-","-","26","31","31","27","31","28","25","25"
"Penistone Road","Regent Court Driveway","433505","389783","53.4038103684243","-1.49751126740305","-","-","-","-","-","-","22","24","25","24","26","24","23","22"
"Carter Knowle","981 Abbeydale Road","433640","383391","53.3463489391009","-1.49615895354672","-","-","-","-","-","-","-","33","39","35","40","37","36","34"
"Carter Knowle","La Scala","433601","383337","53.3458660416825","-1.49675045717341","-","-","-","-","-","-","-","43","50","48","52","45","47","43"
"Carter Knowle","102 Archer Road","434188","383548","53.347725083282","-1.48791094604777","-","-","-","-","-","-","-","32","32","33","35","32","34","32"
"Carter Knowle","Chippendale","434123","383874","53.3506594445147","-1.4888522640247","-","-","-","-","-","-","-","45","47","44","48","44","45","41"
"Carter Knowle","879 Abbeydale Road","434143","383915","53.3510266772994","-1.48854741966582","-","-","-","-","-","-","-","40","46","43","48","43","41","38"
"Meadow","Gypsy Queen/Sainsburys","443528","383052","53.3425828886363","-1.34768793290457","-","-","-","-","-","-","-","-","-","29","30","29","27","-"
"Meadow","Home Décor, Waterthorpe Greenway","442647","383139","53.3434364137301","-1.36090763150304","-","-","-","-","-","-","-","-","-","22","23","26","28","-"
"Meadow","Moss Way/Donetsk Way","442477","383103","53.3431264828544","-1.36346566357742","-","-","-","-","-","-","-","-","-","46","47","46","48","-"
"Meadow","Moss Way/Birley Spa Lane","442554","383390","53.3456998916358","-1.36227074147484","-","-","-","-","-","-","-","-","-","32","36","36","41","-"
"Meadow","Moss Grove","442663","383322","53.3450799460704","-1.36064273380739","-","-","-","-","-","-","-","-","-","26","27","28","26","-"
"Ecclesfield","102 Mill Road","435727","394402","53.4451812942881","-1.46356928761044","-","-","-","-","-","-","-","-","-","30","32","31","-","-"
"Ecclesfield","128 The Common","435837","394317","53.4444098626909","-1.46192288230439","-","-","-","-","-","-","-","-","-","33","35","34","-","-"
"Ecclesfield","Harrods Green Lane/The Common","436127","393984","53.4413970951835","-1.457595106967","-","-","-","-","-","-","-","-","-","30","32","32","-","-"
"Ecclesall Forum","Books on the Park, 749 Ecclesall Rd/Marmion Rd","432921","385647","53.3666716017742","-1.50672459597907","-","-","-","-","-","-","-","-","-","38","44","39","36","34"
"Ecclesall Forum","Unique Hair, 828 Ecclesall Rd/Greystones Rd","432826","385415","53.3645922089993","-1.50817620711467","-","-","-","-","-","-","-","-","-","36","39","36","34","34"
"Ecclesall Forum","Midgeleys Greengrocer, 946 Ecclesall Rd/Psalter La","432086","385029","53.3611680004564","-1.51933502532109","-","-","-","-","-","-","-","-","-","31","34","29","29","28"
"Ecclesall Forum","Ecclesall Fisheries, 97 Ecclesall Rd South","432651","384491","53.3562978299198","-1.51090094111271","-","-","-","-","-","-","-","-","-","53","61","57","53","51"
"Ecclesall Forum","Knowle La/Ecclesall Rd South Bus Terminus","432428","384276","53.3543790195779","-1.51427321289115","-","-","-","-","-","-","-","-","-","45","52","41","42","35"
"Ecclesall Forum","Ecclesall Junior School - Ringinglow Rd from Dec 12?","432241","384592","53.3572307174882","-1.51705045262705","-","-","-","-","-","-","-","-","-","-","33","32","30","29"
"Ecclesall Forum","High Storrs School","431909","384517","53.356576661759","-1.52204601361371","-","-","-","-","-","-","-","-","-","-","25","24","22","22"
"Broomhill Forum","Manchester Rd/Lawson Rd","433103","386770","53.3767540937445","-1.50387238826444","-","-","-","-","-","-","-","-","-","44","51","47","-","-"
"Broomhill Forum","Whitham Rd/Crookes Rd","433325","386890","53.3778187770713","-1.50052289495161","-","-","-","-","-","-","-","-","-","44","55","46","-","-"
"Broomhill Forum","Newbould Lane/Glossop Rd","433530","386757","53.376610415344","-1.49745553250986","-","-","-","-","-","-","-","-","-","37","40","36","-","-"
"Broomhill Forum","Weston Park opp. Childrens Hospital","434024","387250","53.3810101425751","-1.48997734383323","-","-","-","-","-","-","-","-","-","33","39","37","-","-"
"Broomhill Forum","Fullwood Rd Post Office","433762","387257","53.3810898118404","-1.49391510567585","-","-","-","-","-","-","-","-","-","59","70","65","-","-"
"Chapeltown","Glenwood Crescent","435996","396046","53.4599394493141","-1.4593319387858","-","-","-","-","-","-","-","-","-","-","22","23","20","-"
"Chapeltown","Cowley Drive","436239","395729","53.45707362604","-1.45570871958382","-","-","-","-","-","-","-","-","-","-","17","17","16","-"
"Manor & Castle","745 City Road","438062","385109","53.3614918918872","-1.42953379208792","-","-","-","-","-","-","-","-","-","-","30","28","28","27"
"Manor & Castle","8 Elm Tree Court","438230","384909","53.3596821730899","-1.42703362139722","-","-","-","-","-","-","-","-","-","-","31","29","30","27"
"Manor & Castle","Manor Top","438111","384850","53.3591604363884","-1.42882866088206","-","-","-","-","-","-","-","-","-","-","32","29","27","26"
"Manor & Castle","Manor Clinic","438097","384964","53.3601860938736","-1.42902531556163","-","-","-","-","-","-","-","-","-","-","36","35","31","32"
"Abbeydale Corridor","265 Abbeydale Road","434822","385142","53.3620111370653","-1.47821293842804","-","-","-","-","-","-","-","-","-","-","-","38","36","36"
"Abbeydale Corridor","Butterworth Cycles","434523","384654","53.357644415376","-1.48275872912215","-","-","-","-","-","-","-","-","-","-","-","44","44","42"
"Walkley","14 Fir Street","434831","385161","53.3621813227188","-1.47807562091029","-","-","-","-","-","-","-","-","-","-","-","-","16","15"
